"Id","Avg_Steps","User_Type"
8877689391,16040.032258064517,Very Active User
8053475328,14763.290322580646,Very Active User
1503960366,12116.741935483871,Very Active User
2022484408,11370.645161290322,Active User
7007744171,11323.423076923076,Active User
3977333714,10984.566666666668,Active User
4388161847,10813.935483870968,Active User
6962181067,9794.806451612903,Active User
2347167796,9519.666666666666,Active User
7086361926,9371.774193548386,Active User
8378563200,8717.709677419354,Active User
5553957443,8612.58064516129,Active User
4702921684,8572.064516129032,Active User
5577150313,8304.433333333332,Active User
4558609924,7685.129032258064,Average Active User
2873212765,7555.774193548387,Average Active User
1644430081,7282.966666666666,Average Active User
4319703577,7268.8387096774195,Average Active User
8583815059,7198.5161290322585,Average Active User
6117666160,7046.714285714285,Average Active User
3372868164,6861.65,Average Active User
8253242879,6482.1578947368425,Average Active User
1624580081,5743.903225806452,Average Active User
6290855005,5649.551724137931,Average Active User
2026352035,5566.870967741936,Average Active User
4445114986,4796.548387096775,Low Active User
2320127002,4716.870967741936,Low Active User
4057192912,3838.0,Low Active User
1844505072,2580.064516129032,Inactive
6775888955,2519.6923076923076,Inactive
4020332650,2267.2258064516127,Inactive
8792009665,1853.7241379310344,Inactive
1927972279,916.1290322580645,Inactive
