"Id","Avg_Active_Minutes_Week","CDC_Recommendation_Met"
5577150313,820.1666666666666,YES
8053475328,663.1935483870967,YES
3977333714,561.1666666666666,YES
8877689391,532.0,YES
8378563200,482.5483870967742,YES
7086361926,475.5483870967742,YES
1503960366,405.0967741935484,YES
2022484408,389.51612903225805,YES
7007744171,331.15384615384613,YES
4388161847,304.61290322580646,YES
6962181067,289.258064516129,YES
5553957443,254.93548387096774,YES
8253242879,243.8947368421053,YES
2347167796,238.3888888888889,YES
8583815059,223.0967741935484,YES
4702921684,218.1290322580645,YES
1644430081,216.53333333333333,YES
6775888955,180.65384615384613,YES
4558609924,168.6774193548387,YES
2873212765,141.58064516129033,NO
4319703577,111.32258064516128,NO
1624580081,101.38709677419355,NO
3372868164,92.75,NO
4020332650,73.83870967741935,NO
4445114986,58.483870967741936,NO
6290855005,45.862068965517246,NO
8792009665,35.0,NO
2320127002,27.548387096774192,NO
6117666160,25.249999999999996,NO
4057192912,15.75,NO
1927972279,14.677419354838708,NO
1844505072,9.935483870967742,NO
2026352035,2.4838709677419355,NO
