"Id","Avg_Steps","Avg_DIstance","Avg_Calories"
8877689391,16040.032258064517,12.774193548387096,3420.2580645161293
8053475328,14763.290322580646,10.96774193548387,2945.8064516129034
1503960366,12116.741935483871,7.32258064516129,1816.4193548387098
2022484408,11370.645161290322,7.709677419354839,2509.967741935484
7007744171,11323.423076923076,7.653846153846154,2544.0
3977333714,10984.566666666668,7.066666666666666,1513.6666666666667
4388161847,10813.935483870968,7.838709677419355,3093.8709677419356
6962181067,9794.806451612903,6.064516129032258,1982.032258064516
2347167796,9519.666666666666,5.888888888888889,2043.4444444444443
7086361926,9371.774193548386,5.935483870967742,2566.3548387096776
8378563200,8717.709677419354,6.354838709677419,3436.5806451612902
5553957443,8612.58064516129,5.193548387096774,1875.6774193548388
4702921684,8572.064516129032,6.483870967741935,2965.548387096774
5577150313,8304.433333333332,5.733333333333333,3359.633333333333
4558609924,7685.129032258064,4.709677419354839,2033.258064516129
2873212765,7555.774193548387,4.548387096774194,1916.967741935484
1644430081,7282.966666666666,4.766666666666667,2811.3
4319703577,7268.8387096774195,4.483870967741935,2037.6774193548388
8583815059,7198.5161290322585,5.096774193548387,2732.032258064516
6117666160,7046.714285714285,4.964285714285714,2261.1428571428573
3372868164,6861.65,4.3,1933.1
8253242879,6482.1578947368425,4.2631578947368425,1788.0
1624580081,5743.903225806452,3.4193548387096775,1483.3548387096773
6290855005,5649.551724137931,3.8620689655172415,2599.6206896551726
2026352035,5566.870967741936,2.967741935483871,1540.6451612903227
4445114986,4796.548387096775,2.774193548387097,2186.1935483870966
2320127002,4716.870967741936,2.7419354838709675,1724.1612903225807
4057192912,3838.0,2.5,1973.75
1844505072,2580.064516129032,1.4516129032258065,1573.483870967742
6775888955,2519.6923076923076,1.4230769230769231,2131.769230769231
4020332650,2267.2258064516127,1.4516129032258065,2385.8064516129034
8792009665,1853.7241379310344,0.896551724137931,1962.3103448275863
1927972279,916.1290322580645,0.41935483870967744,2172.8064516129034
