"Id","Avg_Sleep_Time","AVG(TotalSteps)","AVG(Calories)"
1844505072,652.0,2580.064516129032,1573.483870967742
2026352035,506.17857142857144,5566.870967741936,1540.6451612903227
6117666160,478.77777777777777,7046.714285714285,2261.1428571428573
4319703577,476.65384615384613,7268.8387096774195,2037.6774193548388
5553957443,463.48387096774195,8612.58064516129,1875.6774193548388
7086361926,453.125,9371.774193548386,2566.3548387096776
6962181067,448.0,9794.806451612903,1982.032258064516
2347167796,446.8,9519.666666666666,2043.4444444444443
8378563200,445.1290322580645,8717.709677419354,3436.5806451612902
8792009665,435.6666666666667,1853.7241379310344,1962.3103448275863
5577150313,432.0,8304.433333333332,3359.633333333333
4702921684,417.48148148148147,8572.064516129032,2965.548387096774
1927972279,417.0,916.1290322580645,2172.8064516129034
4388161847,400.17391304347825,10813.935483870968,3093.8709677419356
4445114986,385.17857142857144,4796.548387096775,2186.1935483870966
1503960366,360.28,12116.741935483871,1816.4193548387098
6775888955,349.6666666666667,2519.6923076923076,2131.769230769231
4020332650,349.375,2267.2258064516127,2385.8064516129034
8053475328,297.0,14763.290322580646,2945.8064516129034
1644430081,294.0,7282.966666666666,2811.3
3977333714,293.64285714285717,10984.566666666668,1513.6666666666667
4558609924,127.6,7685.129032258064,2033.258064516129
7007744171,68.5,11323.423076923076,2544.0
2320127002,61.0,4716.870967741936,1724.1612903225807
